id,name,rank
224517,Brass: Birmingham,1
342942,Ark Nova,2
161936,Pandemic Legacy: Season 1,3
174430,Gloomhaven,4
316554,Dune: Imperium,5
233078,Twilight Imperium: Fourth Edition,6
397598,Dune: Imperium – Uprising,7
115746,War of the Ring: Second Edition,8
167791,Terraforming Mars,9
187645,Star Wars: Rebellion,10
162886,Spirit Island,11
291457,Gloomhaven: Jaws of the Lion,12
220308,Gaia Project,13
12333,Twilight Struggle,14
84876,The Castles of Burgundy,15
182028,Through the Ages: A New Story of Civilization,16
418059,SETI: Search for Extraterrestrial Intelligence,17
338960,Slay the Spire: The Board Game,18
193738,Great Western Trail,19
295770,Frosthaven,20
246900,Eclipse: Second Dawn for the Galaxy,21
421006,The Lord of the Rings: Duel for Middle-earth,22
28720,Brass: Lancashire,23
173346,7 Wonders Duel,24
167355,Nemesis,25
169786,Scythe,26
177736,A Feast for Odin,27
266507,Clank! Legacy: Acquisitions Incorporated,28
124361,Concordia,29
312484,Lost Ruins of Arnak,30
341169,Great Western Trail: Second Edition,31
205637,Arkham Horror: The Card Game,32
373106,Sky Team,33
237182,Root,34
120677,Terra Mystica,35
164928,Orléans,36
192135,Too Many Bones,37
266192,Wingspan,38
251247,Barrage,39
96848,Mage Knight Board Game,40
321608,Hegemony: Lead Your Class to Victory,41
199792,Everdell,42
324856,The Crew: Mission Deep Sea,43
183394,Viticulture Essential Edition,44
521,Crokinole,45
284378,Kanban EV,46
366013,Heat: Pedal to the Metal,47
285774,Marvel Champions: The Card Game,48
247763,Underwater Cities,49
175914,Food Chain Magnate,50
256960,Pax Pamir: Second Edition,51
253344,Cthulhu: Death May Die,52
365717,Clank!: Catacombs,53
3076,Puerto Rico,54
383179,Age of Innovation,55
390092,Ticket to Ride Legacy: Legends of the West,56
184267,On Mars,57
295947,Cascadia,58
414317,Harmonies,59
314040,Pandemic Legacy: Season 0,60
102794,Caverna: The Cave Farmers,61
185343,Anachrony,62
170216,Blood Rage,63
31260,Agricola,64
251661,Oathsworn: Into the Deepwood,65
231733,Obsession,66
182874,Grand Austria Hotel,67
161533,Lisboa,68
240980,Blood on the Clocktower,69
255984,Sleeping Gods,70
221107,Pandemic Legacy: Season 2,71
126163,Tzolk'in: The Mayan Calendar,72
2651,Power Grid,73
205059,Mansions of Madness: Second Edition,74
216132,Clans of Caledonia,75
371942,The White Castle,76
244521,Quacks,77
380607,Great Western Trail: New Zealand,78
266810,Paladins of the West Kingdom,79
35677,Le Havre,80
125153,The Gallerist,81
124742,Android: Netrunner,82
164153,Star Wars: Imperial Assault,83
200680,Agricola (Revised Edition),84
276025,Maracaibo,85
209010,Mechs vs. Minions,86
322289,Darwin's Journey,87
337627,Voidfall,88
366161,Wingspan Asia,89
284083,The Crew: The Quest for Planet Nine,90
332772,Revive,91
55690,Kingdom Death: Monster,92
28143,Race for the Galaxy,93
367966,Endeavor: Deep Sea,94
157354,Five Tribes: The Djinns of Naqala,95
230802,Azul,96
277659,Final Girl,97
201808,Clank!: A Deck-Building Adventure,98
159675,Fields of Arle,99
93,El Grande,100
72125,Eclipse: New Dawn for the Galaxy,101
256916,Concordia Venus,102
291453,SCOUT,103
191189,Aeon's End,104
110327,Lords of Waterdeep,105
359871,Arcs,106
229853,Teotihuacan: City of Gods,107
317985,Beyond the Sun,108
413246,Bomb Busters,109
62219,Dominant Species,110
25613,Through the Ages: A Story of Civilization,111
279537,The Search for Planet X,112
364073,Splendor Duel,113
68448,7 Wonders,114
225694,Decrypto,115
359609,Arkham Horror: The Card Game (Revised Core Set),116
121921,Robinson Crusoe: Adventures on the Cursed Island,117
171623,The Voyages of Marco Polo,118
12,Ra,119
163068,Trickerion: Legends of Illusion,120
